primary_category,n_orders,avg_delay,avg_review
office_furniture,1236,-11.805825242718447,3.6480582524271843
fashion_male_clothing,104,-13.89423076923077,3.8173076923076925
audio,341,-10.020527859237538,3.8475073313782993
furniture_mattress_and_upholstery,34,-6.9411764705882355,3.911764705882353
home_confort,363,-9.584022038567493,3.9421487603305785
fixed_telephony,210,-14.861904761904762,3.966666666666667
fashion_underwear_beach,114,-10.412280701754385,3.991228070175439
fashio_female_clothing,36,-12.083333333333334,4.0
bed_bath_table,9056,-11.39476590106007,4.009606890459364
construction_tools_safety,153,-12.875816993464053,4.019607843137255
home_construction,467,-11.229122055674518,4.025695931477516
unknown,1376,-11.369186046511627,4.034156976744186
telephony,4045,-11.24177997527812,4.05982694684796
furniture_living_room,402,-11.619402985074627,4.074626865671642
party_supplies,37,-14.891891891891891,4.081081081081081
furniture_decor,6119,-12.264912567412976,4.0831835267200525
computers_accessories,6457,-12.383150069691807,4.088895772030354
christmas_supplies,122,-12.295081967213115,4.10655737704918
agro_industry_and_commerce,177,-11.259887005649718,4.107344632768362
air_conditioning,238,-13.928571428571429,4.109243697478991
art,190,-12.873684210526315,4.110526315789474
baby,2730,-11.563736263736264,4.1219780219780215
watches_gifts,5434,-11.836584468163416,4.123481781376518
market_place,264,-13.882575757575758,4.125
electronics,2482,-10.991539081385978,4.132151490733279
signaling_and_security,135,-11.837037037037037,4.133333333333334
home_appliances_2,224,-12.232142857142858,4.142857142857143
tablets_printing_image,76,-13.447368421052632,4.144736842105263
auto,3772,-11.263520678685047,4.154825026511134
construction_tools_construction,716,-11.12709497206704,4.156424581005586
kitchen_dining_laundry_garden_furniture,234,-12.192307692307692,4.162393162393163
dvds_blu_ray,55,-13.054545454545455,4.181818181818182
consoles_games,1003,-11.51445663010967,4.1834496510468595
garden_tools,3383,-11.849837422406148,4.198049068873781
housewares,5637,-12.073265921589497,4.207912009934362
construction_tools_lights,227,-11.308370044052863,4.220264317180617
computers,174,-11.810344827586206,4.224137931034483
home_appliances,727,-12.603851444291609,4.226960110041265
cool_stuff,3503,-12.406508706822724,4.230088495575221
health_beauty,8548,-12.004328497894244,4.2331539541413195
sports_leisure,7423,-11.852620234406574,4.236831469756163
drinks,282,-10.879432624113475,4.23758865248227
toys,3746,-12.159103043246128,4.239722370528564
musical_instruments,601,-11.414309484193012,4.241264559068219
fashion_bags_accessories,1792,-13.180803571428571,4.245535714285714
industry_commerce_and_business,227,-12.286343612334802,4.246696035242291
furniture_bedroom,89,-13.303370786516854,4.247191011235955
perfumery,3062,-12.327563683866753,4.263879817112998
small_appliances,603,-13.87396351575456,4.268656716417911
pet_shop,1671,-12.400359066427288,4.277079593058049
costruction_tools_garden,185,-13.464864864864865,4.281081081081081
music,37,-13.972972972972974,4.297297297297297
fashion_shoes,228,-14.442982456140351,4.302631578947368
stationery,2229,-11.990130103185285,4.30820995962315
food,429,-9.727272727272727,4.340326340326341
luggage_accessories,1008,-12.629960317460318,4.371031746031746
cine_photo,63,-10.555555555555555,4.396825396825397
costruction_tools_tools,94,-12.446808510638299,4.425531914893617
small_appliances_home_oven_and_coffee,72,-11.51388888888889,4.430555555555555
books_technical,251,-11.235059760956176,4.434262948207171
books_imported,50,-11.22,4.44
food_drink,216,-11.282407407407407,4.449074074074074
books_general_interest,488,-11.91188524590164,4.540983606557377
